instNum,optimal,LB,makespan,firstSol,UB,timeToFirstSol,runtime,nodes,propagations
0,1,20,43,53,75,70,0.57,25442,4198838
1,1,20,49,62,87,74,5.36,115616,28916093
2,1,16,38,45,69,68,1.65,41660,11204690
3,1,29,41,45,91,81,191.21,1321057,300350542
4,0,20,40,43,87,87,600,5822182,1197924358
5,1,16,40,53,77,63,2.39,47837,13832911
6,0,16,33,36,69,84,600,6178495,1116260937
7,1,29,53,66,91,66,0.97,31949,6126361
8,1,20,35,39,75,82,79.98,692301,162677495
9,1,16,35,41,77,81,476.72,3704960,795807099
