instNum,optimal,LB,makespan,firstSol,UB,timeToFirstSol,runtime,nodes,propagations
0,1,35,61,76,101,63,0.97,29889,4270846
1,1,29,55,68,83,64,0.21,9949,1267209
2,1,35,54,68,85,61,0.40,18374,1891262
3,1,29,44,54,77,63,0.30,14154,1337991
4,1,26,35,39,74,74,0.32,7087,751035
5,1,23,37,44,62,52,0.18,10879,852538
6,1,26,46,54,74,62,0.24,11270,1345587
7,1,29,37,46,77,75,0.03,1732,88789
8,1,31,51,61,86,57,0.24,11885,1109019
9,1,29,40,42,83,72,0.35,6536,846359
10,1,31,43,53,86,69,0.06,3217,164991
11,1,35,48,59,101,71,0.19,4470,499782
12,1,35,42,47,85,71,0.12,3026,279714
13,1,23,29,37,62,71,0.07,2643,177240
