instNum,optimal,LB,makespan,firstSol,UB,timeToFirstSol,runtime,nodes,propagations
0,1,17,45,56,81,80,6.92,119022,32886364
1,1,15,31,33,71,96,305.82,2392071,590024952
2,1,24,35,42,76,93,40.38,340299,83260890
3,1,18,42,51,69,77,15.26,194938,53123770
4,1,21,34,37,74,90,449.63,3494472,775611006
5,0,17,37,41,81,86,600,5549007,1252051359
6,0,18,32,36,69,83,600,5149269,1248838468
7,1,21,48,56,74,69,23.12,341324,75729219
8,0,18,34,35,72,83,600,5064183,1144961879
9,0,16,37,38,77,83,600,5724221,1151192267
10,1,15,36,49,71,76,3.97,80221,22105994
11,0,21,38,41,79,83,600,5777678,1260847584
12,1,16,42,58,77,73,4.07,74017,21834675
13,1,18,47,56,72,72,23.47,368523,75471810
14,1,21,43,51,79,70,2.20,51543,14775820
15,1,24,47,53,76,70,4.09,91542,19286369
