instNum,optimal,LB,makespan,firstSol,UB,timeToFirstSol,runtime,nodes,propagations
0,1,13,30,42,64,63,3.58,71559,15400480
1,1,12,26,28,59,66,575.16,5250164,1080338240
2,1,11,24,31,54,65,6.73,91336,18001797
3,1,12,35,40,64,51,2.72,75963,13341419
4,1,12,29,42,59,56,0.99,30672,5660811
5,1,12,28,34,64,63,4.44,68349,13703661
6,1,11,28,34,54,54,1.89,52354,10471279
7,1,13,28,34,64,67,73.53,694377,175516825
